experiment_id,dataset,seed,model_summary,optimizer,lr,momentum,weight_decay,epochs_trained,best_val_accuracy,best_val_loss,total_training_time_sec
E1,EMNIST-balanced,42,"[1024, 512, 256], dropout=0.0, bn=True",Adam,0.001,0.0,0.0,20,0.7881666666666667,0.6912787469228109,4.422362804412842
E2,EMNIST-balanced,42,"[1024, 512, 256], dropout=0.0, bn=True",Adam,0.001,0.0,0.0,20,0.8088333333333333,0.5984552996953328,4.3454389572143555
E3,EMNIST-balanced,42,"[1024, 512, 256], dropout=0.0, bn=True",Adam,0.001,0.0,0.0,20,0.8136666666666666,0.6698916343053182,4.699990510940552
E4,EMNIST-balanced,42,"[1024, 512, 256], dropout=0.0, bn=True",Adam,0.001,0.0,0.0,16,0.811,0.6007247077624003,3.7520573139190674
O1,EMNIST-balanced,42,"[1024, 512, 256], dropout=0.0, bn=True",Adam,0.1,0.0,0.0,8,0.776,0.7121418795585632,1.8672804832458496
O2,EMNIST-balanced,42,"[1024, 512, 256], dropout=0.0, bn=True",Adam,1e-05,0.0,0.0,8,0.3405,3.12896879641215,1.87998366355896
O3,EMNIST-balanced,42,"[1024, 512, 256], dropout=0.0, bn=True",SGD,0.01,0.9,0.0001,15,0.7756666666666666,0.7878175223668417,3.4020848274230957
E1,EMNIST-balanced,42,"[1024, 512, 256], dropout=0.3, bn=False",Adam,0.001,0.0,0.0,20,0.8507535460992908,0.45961063525355456,16.41776728630066
E2,EMNIST-balanced,42,"[1024, 512, 256], dropout=0.3, bn=False",Adam,0.001,0.0,0.0,20,0.8607712765957447,0.4119815446383564,16.344225883483887
E3,EMNIST-balanced,42,"[1024, 512, 256], dropout=0.3, bn=False",Adam,0.001,0.0,0.0,20,0.855008865248227,0.4339744206015945,18.17295813560486
E4,EMNIST-balanced,42,"[1024, 512, 256], dropout=0.3, bn=False",Adam,0.001,0.0,0.0,48,0.8695478723404255,0.409769551846998,39.71652817726135
O1,EMNIST-balanced,42,"[1024, 512, 256], dropout=0.3, bn=False",Adam,0.1,0.0,0.0,8,0.05421099290780142,3.6102118705181367,8.224525213241577
O2,EMNIST-balanced,42,"[1024, 512, 256], dropout=0.3, bn=False",Adam,1e-05,0.0,0.0,8,0.30062056737588655,3.293030764194245,6.617212772369385
O3,EMNIST-balanced,42,"[1024, 512, 256], dropout=0.3, bn=False",SGD,0.01,0.9,0.0001,15,0.6274822695035461,1.30944359623794,11.741227149963379
